date,avg,min,max
20141007,125,104,147
20141008,137,97,166
20141009,151,118,181
20141010,142,98,176
20141011,125,82,153
20141012,135,97,169
20141013,147,118,175
20141014,126,109,142
20141015,138,115,174
20141016,147,129,181
20141017,154,112,183
20141018,184,137,232
20141019,173,150,205
20141020,151,136,172
20141021,119,74,142
20141022,107,70,137
20141023,129,90,147
20141024,121,115,129
20141025,127,103,150
20141026,134,101,158
20141027,136,108,168
20141028,98,88,118
20141029,117,96,146
20141030,136,116,165
20141031,144,111,179
20141101,151,120,183
20141102,145,123,166
20141103,123,99,144
20141104,94,67,110
20141105,66,30,93
20141106,65,39,85
20141107,89,59,109
20141108,105,88,131
20141109,110,85,137
20141110,100,76,123
20141111,97,62,130
20141112,100,59,134
20141113,91,24,140
20141114,100,72,124
20141115,95,54,109
20141116,86,69,97
20141117,95,75,120
20141118,80,57,83
20141119,82,66,91
20141120,70,58,77
20141121,57,24,81
20141122,94,52,133
20141123,114,89,143
20141124,61,4,115
20141125,44,-14,93
20141126,53,34,71
20141127,79,71,91
20141128,68,43,92
20141129,33,16,59
20141130,30,24,35
20141201,18,13,27
20141202,13,7,18
20141203,-6,-28,21
20141204,-2,-26,20
20141205,41,16,62
20141206,40,-8,95
20141207,48,-3,74
20141208,43,17,61
20141209,43,-7,76
20141210,71,49,92
20141211,72,55,83
20141212,77,48,96
20141213,46,1,73
20141214,31,-7,50
20141215,60,35,83
20141216,54,7,86
20141217,86,49,111
20141218,115,102,126
20141219,95,74,124
20141220,77,57,89
20141221,83,40,108
20141222,115,106,124
20141223,110,98,126
20141224,82,53,103
20141225,56,15,83
20141226,32,-4,59
20141227,6,-7,37
20141228,-7,-39,34
20141229,38,16,68
20141230,43,15,69
20141231,53,31,77
20150101,37,20,54
20150102,74,50,111
20150103,45,27,63
20150104,33,2,75
20150105,32,14,42
20150106,30,2,71
20150107,44,8,73
20150108,69,43,83
20150109,98,64,125
20150110,92,50,123
20150111,66,51,84
20150112,86,72,98
20150113,84,50,101
20150114,48,36,63
20150115,81,56,105
20150116,52,20,75
20150117,29,-15,58
20150118,25,15,35
20150119,10,-2,24
20150120,18,8,33
20150121,1,-22,15
20150122,-11,-34,8
20150123,-24,-52,-3
20150124,28,-5,69
20150125,46,0,70
20150126,68,45,86
20150127,53,21,83
20150128,55,32,75
20150129,36,3,61
20150130,23,-7,46
20150131,20,-5,51
20150201,38,13,59
20150202,27,8,61
20150203,13,-21,64
20150204,-1,-44,54
20150205,-7,-50,21
20150206,-2,-17,21
20150207,18,-50,58
20150208,51,18,72
20150209,53,28,72
20150210,58,45,71
20150211,46,37,54
20150212,42,29,52
20150213,66,15,111
20150214,73,50,92
20150215,37,-13,74
20150216,22,-33,78
20150217,42,-14,85
20150218,31,-17,82
20150219,40,-3,80
20150220,55,39,68
20150221,35,-2,61
20150222,35,-11,70
20150223,62,36,93
20150224,58,36,88
20150225,46,16,67
20150226,66,45,89
20150227,47,1,81
20150228,57,16,93
20150301,83,63,103
20150302,56,42,80
20150303,52,35,79
20150304,56,42,75
20150305,54,3,93
20150306,73,52,91
20150307,84,49,128
20150308,89,58,136
20150309,82,18,124
20150310,72,-5,107
20150311,43,-21,103
20150312,68,-6,126
20150313,50,9,97
20150314,36,9,51
20150315,57,40,77
20150316,65,10,122
20150317,77,-6,162
20150318,56,8,74
20150319,70,33,114
20150320,49,19,92
20150321,66,43,93
20150322,49,14,78
20150323,37,-12,84
20150324,58,5,96
20150325,60,31,77
20150326,50,0,83
20150327,62,21,100
20150328,81,23,119
20150329,91,72,109
20150330,73,58,93
20150331,88,30,113
20150401,69,37,96
20150402,58,19,87
20150403,61,5,88
20150404,50,14,89
20150405,46,-13,109
20150406,66,10,120
20150407,64,6,122
20150408,78,15,140
20150409,97,27,178
20150410,115,24,206
20150411,97,49,135
20150412,103,43,160
20150413,82,38,119
20150414,125,54,190
20150415,135,74,214
20150416,97,57,141
20150417,87,49,127
20150418,83,13,145
20150419,74,9,133
20150420,103,29,169
20150421,96,31,164
20150422,80,14,120
20150423,93,38,143
20150424,117,15,189
20150425,125,105,155
20150426,106,75,122
20150427,73,3,119
20150428,73,3,110
20150429,94,49,150
20150430,93,39,132
20150501,84,23,130
20150502,98,17,150
20150503,130,85,168
20150504,155,119,199
20150505,152,117,211
20150506,121,89,159
20150507,122,89,154
20150508,146,95,184
20150509,129,70,159
20150510,133,49,188
20150511,176,123,241
20150512,139,113,168
20150513,119,55,171
20150514,115,49,162
20150515,94,50,136
20150516,112,74,141
20150517,119,82,158
20150518,112,88,140
20150519,107,79,147
20150520,100,55,135
20150521,123,44,162
20150522,143,118,190
20150523,125,50,162
20150524,124,24,185
20150525,120,62,160
20150526,120,63,162
20150527,133,61,179
20150528,131,77,162
20150529,116,68,157
20150530,116,63,152
20150531,129,93,162
20150601,127,59,167
20150602,144,113,168
20150603,141,85,178
20150604,162,59,221
20150605,209,105,324
20150606,148,105,178
20150607,133,78,182
20150608,127,72,179
20150609,113,76,146
20150610,150,55,216
20150611,180,91,248
20150612,208,112,277
20150613,169,138,212
20150614,155,129,199
20150615,138,80,182
20150616,122,57,174
20150617,164,71,227
20150618,141,121,162
20150619,133,112,158
20150620,143,118,178
20150621,150,132,166
20150622,129,106,153
20150623,128,93,160
20150624,163,120,219
20150625,181,125,229
20150626,203,120,256
20150627,174,123,206
20150628,186,118,241
20150629,180,119,227
20150630,216,107,277
20150701,270,160,344
20150702,240,195,276
20150703,233,162,282
20150704,239,173,307
20150705,196,160,277
20150706,183,143,228
20150707,194,125,247
20150708,162,125,198
20150709,139,90,176
20150710,181,82,238
20150711,204,148,276
20150712,178,160,207
20150713,175,166,188
20150714,179,152,199
20150715,177,139,209
20150716,192,121,244
20150717,212,168,258
20150718,180,147,215
20150719,172,147,215
20150720,192,151,216
20150721,204,170,250
20150722,191,163,234
20150723,176,137,221
20150724,191,138,241
20150725,149,89,192
20150726,149,85,211
20150727,169,145,195
20150728,156,126,187
20150729,144,109,174
20150730,133,86,174
20150731,142,70,194
20150801,160,88,213
20150802,192,103,251
20150803,211,156,269
20150804,179,143,208
20150805,202,136,259
20150806,200,143,265
20150807,196,135,248
20150808,185,133,234
20150809,188,114,251
20150810,193,170,228
20150811,195,156,244
20150812,196,165,233
20150813,215,147,286
20150814,210,177,247
20150815,172,151,202
20150816,157,130,180
20150817,143,130,150
20150818,144,133,168
20150819,175,139,224
20150820,189,120,242
20150821,210,160,265
20150822,218,169,268
20150823,198,156,267
20150824,173,125,223
20150825,165,144,193
20150826,202,167,249
20150827,159,143,186
20150828,159,121,205
20150829,174,103,237
20150830,199,148,248
